identifiant,metier,competences
146ylkw,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147bfhb,administrateur systèmes et réseaux informatique,"maîtrise système windows serveur . maîtriseposte de exploitation . actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147cfgj,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . réactivité . autonomie"
147cpnl,administrateur systèmes et réseaux informatique,travail en équipe . sens de le communication . autonomie
147ctph,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147fcxq,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de décision . sens de le organisation . rigueur"
147fyft,administrateur systèmes et réseaux informatique,autonomie . sens de le organisation . rigueur
147hdrx,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . réactivité . travail en équipe . rigueur"
147kbgc,administrateur systèmes et réseaux informatique,"administrer un système de information si . gérer le droit de accès de utilisateur . infogérance télémaintenance . installer un équipement informatique . paramétrage de logiciel . réaliser le intervention de télémaintenance de équipement de utilisateur . système de exploitation windows . système de messagerie . actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . protection de donnée numérique . règlement général européen sur le protection de donnée rgpd . règle de sécurité informatique et télécommunication . rédiger un script . système de exploitation informatique vmware virtualisation de architecture . système de exploitation linux . système réseau lan , man , wan . sélectionner le équipement informatique . force de proposition . autonomie . rigueur"
146ndrl,administrateur systèmes et réseaux informatique,analyser le processus métier . concevoir un support de information et de communication . définir un solution fonctionnel . définir le faisabilité et le rentabilité de un projet . recenser le besoin de commanditaire . force de proposition . autonomie . sens de le organisation
146nfgw,administrateur systèmes et réseaux informatique,analyser le processus métier . concevoir un support de information et de communication . définir un solution fonctionnel . définir le faisabilité et le rentabilité de un projet . recenser le besoin de commanditaire . force de proposition . autonomie . sens de le organisation
146ngzk,administrateur systèmes et réseaux informatique,analyser le processus métier . définir un solution fonctionnel . définir le faisabilité et le rentabilité de un projet . présenter le évolution de système de information au commanditaire . recenser le besoin de commanditaire . force de proposition . autonomie . sens de le organisation
145vydy,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . travail en équipe . sens de le communication . autonomie"
144vqxj,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . curiosité . persévérance . travail en équipe"
145mzmx,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145pmpr,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145qcpg,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145vsbj,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . actif directory . office 365 . sql . virtualisation hyperv . travail en équipe . autonomie . rigueur"
