metier,identifiant,competences,savoir-etre
Chef de produit technique en informatique,146XMWC,"Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Effectuer une assistance technique. Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques. Réaliser la maintenance de premier niveau de matériel informatique. Superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données",Réactivité. Travail en équipe. Autonomie
Chef de produit technique en informatique,146DGKP,"Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Effectuer une assistance technique. Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques. Réaliser la maintenance de premier niveau de matériel informatique. Superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données",Réactivité. Travail en équipe. Autonomie
Chef de produit technique en informatique,7454114,,
Chef de produit technique en informatique,7453464,,
Chef de produit technique en informatique,6593353,,
Chef de produit technique en informatique,6181271,,
Chef de produit technique en informatique,6181258,,
Chef de produit technique en informatique,6179860,,
Chef de produit technique en informatique,6179737,,
Chef de produit technique en informatique,6179595,,
Chef de produit technique en informatique,6179466,,
Chef de produit technique en informatique,5346899,,
Chef de produit technique en informatique,4646996,,
Chef de produit technique en informatique,7419591,,
Chef de produit technique en informatique,7005965,,
Chef de produit technique en informatique,6594891,,
Chef de produit technique en informatique,7292225,,
Chef de produit technique en informatique,7292197,,
Chef de produit technique en informatique,7076375,,
Chef de produit technique en informatique,4647198,,
Chef de produit technique en informatique,6425163,,
Chef de produit technique en informatique,6897927,,
Chef de produit technique en informatique,6896702,,
Chef de produit technique en informatique,7342243,,
Chef de produit technique en informatique,7004679,,
Chef de produit technique en informatique,6179814,,
Chef de produit technique en informatique,6062536,,
Chef de produit technique en informatique,6653542,,
Chef de produit technique en informatique,7384289,,
Chef de produit technique en informatique,147BWLR,"Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Effectuer une assistance technique. Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques. Réaliser la maintenance de premier niveau de matériel informatique. Superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données",
Chef de produit technique en informatique,146HKVY,,Réactivité. Travail en équipe. Autonomie
Chef de produit technique en informatique,7376478,,
Chef de produit technique en informatique,6669703,,
Chef de produit technique en informatique,4647056,,
Chef de produit technique en informatique,147DMVV,"Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Effectuer une assistance technique. Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques. Réaliser la maintenance de premier niveau de matériel informatique. Superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données",
Chef de produit technique en informatique,142YWZZ,,
Chef de produit technique en informatique,6673005,,
